name,category,link,rating
Need for Speed™ No Limits,Racing,https://play.google.com/store/apps/details?id=com.ea.game.nfs14_row&hl=en_IN&gl=US,4.1
Hill Climb Racing 2,Racing,https://play.google.com/store/apps/details?id=com.fingersoft.hcr2&hl=en_IN&gl=US,4.4
Moto X3M Bike Race Game,Racing,https://play.google.com/store/apps/details?id=air.com.aceviral.motox3m&hl=en_IN&gl=US,4.4
Wheel Offroad,Racing,https://play.google.com/store/apps/details?id=www.wheelroad.wheeloffroad&hl=en_IN&gl=US,3.6
Asphalt 9: Legends,Racing,https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftA9HM&hl=en_IN&gl=US,4.5
Real Cricket 20,Sports,https://play.google.com/store/apps/details?id=com.nautilus.RealCricket3D&hl=en_IN&gl=US,4.2
World Cricket Championship 2,Sports,https://play.google.com/store/apps/details?id=com.nextwave.wcc2&hl=en_IN&gl=US,4.3
Stick cricket,Sports,https://play.google.com/store/apps/details?id=com.sticksports.stickcricket&hl=en_IN&gl=US,4.3
Sachin Saga,Sports,https://play.google.com/store/apps/details?id=com.jetplay.sachinsagacc&hl=en_IN&gl=US,4
Soccer Stars,Sports,https://play.google.com/store/apps/details?id=com.miniclip.soccerstars&hl=en_IN&gl=US,4.2
FIFA Football,Sports,https://play.google.com/store/apps/details?id=com.ea.gp.fifamobile&hl=en_IN&gl=US,4.2
Football Strike,Sports,https://play.google.com/store/apps/details?id=com.miniclip.footballstrike&hl=en_IN&gl=US,4.4
Dream League Soccer,Sports,https://play.google.com/store/apps/details?id=com.firsttouchgames.dls7&hl=en_IN&gl=US,4.3
Score! Hero,Sports,https://play.google.com/store/apps/details?id=com.firsttouchgames.story&hl=en_IN&gl=US,4.2
Archery Battle 3D,Sports,https://play.google.com/store/apps/details?id=com.cg.archery&hl=en_IN&gl=US,4.5
8 ball pool,Sports,https://play.google.com/store/apps/details?id=com.miniclip.eightballpool&hl=en_IN&gl=US,4.4
Tennis Clash,Sports,https://play.google.com/store/apps/details?id=com.tfgco.games.sports.free.tennis.clash&hl=en_IN&gl=US,4.3
Basketball Arena,Sports,https://play.google.com/store/apps/details?id=com.masomo.basketballarena&hl=en_IN&gl=US,4.6
